date, pm25
2023/8/12, 17
2023/8/13, 22
2023/8/14, 23
2023/8/15, 36
2023/8/16, 41
2023/8/17, 42
2023/8/18, 53
2023/8/19, 52
2023/8/20, 49
2023/8/21, 58
2023/8/22, 62
2023/8/23, 58
2023/8/24, 56
2023/8/25, 18
2023/8/26, 18
2023/8/27, 16
2023/8/28, 48
2023/8/29, 46
2023/8/30, 13
2023/8/31, 25
2023/9/1, 24
2023/9/2, 34
2023/9/3, 33
2023/9/4, 28
2023/9/5, 25
2023/9/6, 37
2023/9/7, 10
2023/9/8, 20
2023/9/9, 35
2023/9/10, 54
2023/9/11, 32
2023/9/12, 25
2023/9/13, 27
2023/9/14, 23
2023/9/15, 41
2023/9/16, 46
2023/9/17, 33
2023/9/18, 23
2023/9/19, 34
2023/9/20, 49
2023/9/21, 58
2023/9/22, 55
2023/9/23, 39
2023/9/24, 39
2023/9/25, 40
2023/9/26, 27
2023/9/27, 35
2023/9/28, 20
2023/9/29, 54
2023/9/30, 44
2023/4/1, 18
2023/4/2, 24
2023/4/3, 35
2023/4/4, 36
2023/4/5, 34
2023/4/6, 21
2023/4/7, 23
2023/4/8, 31
2023/4/9, 48
2023/4/10, 50
2023/4/11, 40
2023/4/12, 35
2023/4/13, 35
2023/4/14, 53
2023/4/15, 44
2023/4/16, 13
2023/4/17, 13
2023/4/18, 24
2023/4/19, 39
2023/4/20, 39
2023/4/21, 15
2023/4/22, 11
2023/4/23, 13
2023/4/24, 33
2023/4/25, 36
2023/4/26, 15
2023/4/27, 40
2023/4/28, 43
2023/4/29, 40
2023/4/30, 9
2023/5/1, 8
2023/5/2, 16
2023/5/3, 19
2023/5/4, 40
2023/5/5, 27
2023/5/6, 37
2023/5/7, 48
2023/5/8, 42
2023/5/9, 25
2023/5/10, 41
2023/5/11, 46
2023/5/12, 68
2023/5/13, 52
2023/5/14, 31
2023/5/15, 27
2023/5/16, 42
2023/5/17, 23
2023/5/18, 33
2023/5/19, 67
2023/5/20, 27
2023/5/21, 36
2023/5/22, 45
2023/5/23, 47
2023/5/24, 49
2023/5/25, 22
2023/5/26, 36
2023/5/27, 34
2023/5/28, 40
2023/5/29, 49
2023/5/30, 41
2023/5/31, 54
2023/6/1, 57
2023/6/2, 62
2023/6/3, 50
2023/6/4, 58
2023/6/5, 58
2023/6/6, 73
2023/6/7, 52
2023/6/8, 57
2023/6/9, 57
2023/6/10, 53
2023/6/12, 28
2023/6/13, 36
2023/6/14, 46
2023/6/15, 61
2023/6/16, 43
2023/6/17, 75
2023/6/18, 80
2023/6/19, 70
2023/6/20, 64
2023/6/21, 65
2023/6/22, 64
2023/6/23, 70
2023/6/24, 54
2023/6/25, 35
2023/6/26, 67
2023/6/27, 168
2023/6/28, 173
2023/6/29, 121
2023/6/30, 75
2023/1/2, 58
2023/1/3, 38
2023/1/4, 24
2023/1/5, 37
2023/1/6, 30
2023/1/8, 47
2023/1/9, 65
2023/1/10, 58
2023/1/11, 73
2023/1/12, 47
2023/1/13, 17
2023/1/14, 30
2023/1/15, 38
2023/1/16, 26
2023/1/17, 35
2023/1/18, 30
2023/1/19, 23
2023/1/20, 21
2023/1/21, 31
2023/1/22, 39
2023/1/23, 37
2023/1/24, 51
2023/1/25, 54
2023/1/28, 29
2023/1/29, 26
2023/1/30, 31
2023/1/31, 45
2023/2/1, 47
2023/2/2, 45
2023/2/3, 25
2023/2/4, 39
2023/2/5, 39
2023/2/6, 61
2023/2/7, 42
2023/2/8, 55
2023/2/9, 39
2023/2/10, 31
2023/2/11, 27
2023/2/12, 28
2023/2/13, 29
2023/2/14, 35
2023/2/15, 23
2023/2/16, 18
2023/2/17, 22
2023/2/18, 25
2023/2/19, 23
2023/2/20, 47
2023/2/21, 31
2023/2/22, 33
2023/2/23, 30
2023/2/24, 27
2023/2/25, 39
2023/2/26, 42
2023/2/27, 48
2023/2/28, 29
2023/3/1, 40
2023/3/2, 23
2023/3/3, 42
2023/3/4, 52
2023/3/5, 46
2023/3/6, 45
2023/3/7, 22
2023/3/8, 19
2023/3/9, 19
2023/3/10, 23
2023/3/11, 18
2023/3/12, 30
2023/3/13, 21
2023/3/14, 27
2023/3/15, 45
2023/3/16, 41
2023/3/17, 17
2023/3/18, 20
2023/3/19, 23
2023/3/20, 42
2023/3/21, 45
2023/3/22, 50
2023/3/23, 38
2023/3/24, 29
2023/3/25, 18
2023/3/26, 34
2023/3/27, 25
2023/3/28, 41
2023/3/29, 34
2023/3/30, 42
2023/3/31, 39
2022/10/1, 32
2022/10/2, 22
2022/10/3, 32
2022/10/4, 54
2022/10/5, 53
2022/10/6, 37
2022/10/7, 17
2022/10/8, 27
2022/10/9, 27
2022/10/10, 56
2022/10/11, 45
2022/10/12, 38
2022/10/13, 27
2022/10/14, 34
2022/10/15, 19
2022/10/16, 20
2022/10/17, 11
2022/10/18, 18
2022/10/19, 18
2022/10/20, 38
2022/10/21, 40
2022/10/22, 51
2022/10/23, 42
2022/10/24, 40
2022/10/25, 41
2022/10/26, 23
2022/10/27, 36
2022/10/28, 35
2022/10/29, 58
2022/10/30, 65
2022/10/31, 64
2022/11/1, 63
2022/11/2, 57
2022/11/3, 36
2022/11/4, 42
2022/11/5, 34
2022/11/6, 19
2022/11/7, 24
2022/11/8, 22
2022/11/9, 34
2022/11/10, 38
2022/11/11, 16
2022/11/12, 15
2022/11/13, 18
2022/11/14, 41
2022/11/15, 41
2022/11/16, 28
2022/11/17, 32
2022/11/18, 17
2022/11/19, 21
2022/11/20, 17
2022/11/21, 27
2022/11/22, 54
2022/11/23, 64
2022/11/24, 56
2022/11/25, 44
2022/11/26, 38
2022/11/27, 40
2022/11/28, 37
2022/11/29, 41
2022/11/30, 18
2022/12/1, 25
2022/12/2, 21
2022/12/3, 22
2022/12/4, 29
2022/12/5, 40
2022/12/6, 59
2022/12/7, 76
2022/12/8, 37
2022/12/9, 42
2022/12/10, 54
2022/12/11, 26
2022/12/12, 34
2022/12/13, 51
2022/12/14, 42
2022/12/15, 21
2022/12/16, 20
2022/12/17, 22
2022/12/18, 19
2022/12/19, 46
2022/12/20, 50
2022/12/21, 57
2022/12/22, 65
2022/12/23, 20
2022/12/24, 16
2022/12/25, 13
2022/12/27, 45
2022/12/28, 46
2022/12/29, 34
2022/12/30, 39
2022/12/31, 48
2023/1/1, 62
2022/7/1, 41
2022/7/2, 50
2022/7/3, 54
2022/7/4, 85
2022/7/5, 41
2022/7/6, 28
2022/7/7, 38
2022/7/8, 36
2022/7/9, 18
2022/7/10, 21
2022/7/11, 27
2022/7/12, 18
2022/7/13, 20
2022/7/14, 25
2022/7/15, 37
2022/7/16, 30
2022/7/17, 39
2022/7/18, 32
2022/7/19, 36
2022/7/20, 46
2022/7/21, 53
2022/7/22, 28
2022/7/23, 26
2022/7/24, 36
2022/7/25, 11
2022/7/26, 27
2022/7/27, 46
2022/7/28, 28
2022/7/29, 23
2022/7/30, 43
2022/7/31, 25
2022/8/1, 37
2022/8/2, 30
2022/8/3, 26
2022/8/4, 34
2022/8/5, 36
2022/8/6, 39
2022/8/7, 19
2022/8/8, 25
2022/8/9, 11
2022/8/10, 35
2022/8/11, 22
2022/8/12, 28
2022/8/13, 25
2022/8/14, 32
2022/8/15, 35
2022/8/16, 30
2022/8/17, 32
2022/8/18, 43
2022/8/19, 32
2022/8/20, 28
2022/8/21, 36
2022/8/22, 23
2022/8/23, 33
2022/8/24, 43
2022/8/25, 40
2022/8/26, 23
2022/8/27, 41
2022/8/28, 35
2022/8/29, 26
2022/8/30, 33
2022/8/31, 24
2022/9/1, 31
2022/9/2, 34
2022/9/3, 51
2022/9/7, 24
2022/9/8, 42
2022/9/9, 38
2022/9/10, 49
2022/9/11, 29
2022/9/12, 17
2022/9/13, 28
2022/9/14, 36
2022/9/15, 35
2022/9/16, 34
2022/9/17, 45
2022/9/18, 38
2022/9/19, 31
2022/9/20, 44
2022/9/21, 30
2022/9/22, 15
2022/9/23, 26
2022/9/24, 26
2022/9/25, 24
2022/9/26, 19
2022/9/27, 17
2022/9/28, 16
2022/9/29, 27
2022/9/30, 39
2022/4/1, 25
2022/4/2, 34
2022/4/3, 34
2022/4/4, 33
2022/4/5, 52
2022/4/6, 22
2022/4/7, 13
2022/4/8, 17
2022/4/9, 16
2022/4/10, 31
2022/4/11, 29
2022/4/12, 47
2022/4/13, 32
2022/4/14, 24
2022/4/15, 19
2022/4/16, 18
2022/4/17, 15
2022/4/18, 22
2022/4/19, 19
2022/4/20, 36
2022/4/21, 23
2022/4/22, 37
2022/4/23, 49
2022/4/24, 32
2022/4/25, 14
2022/4/26, 22
2022/4/27, 17
2022/4/28, 29
2022/4/29, 39
2022/4/30, 43
2022/5/1, 18
2022/5/2, 20
2022/5/3, 33
2022/5/4, 15
2022/5/5, 32
2022/5/6, 27
2022/5/7, 20
